"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532484","4:f4b58906-e3ae-4787-871e-1af324202838:260","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847270","4:f4b58906-e3ae-4787-871e-1af324202838:294","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847280","4:f4b58906-e3ae-4787-871e-1af324202838:304","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847299","4:f4b58906-e3ae-4787-871e-1af324202838:323","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1159676904047903056","4:f4b58906-e3ae-4787-871e-1af324202838:336","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1159676904047903057","4:f4b58906-e3ae-4787-871e-1af324202838:337","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532570","4:f4b58906-e3ae-4787-871e-1af324202838:346","4:f4b58906-e3ae-4787-871e-1af324202838:12","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847015","4:f4b58906-e3ae-4787-871e-1af324202838:39","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847038","4:f4b58906-e3ae-4787-871e-1af324202838:62","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217542","4:f4b58906-e3ae-4787-871e-1af324202838:70","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532295","4:f4b58906-e3ae-4787-871e-1af324202838:71","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847048","4:f4b58906-e3ae-4787-871e-1af324202838:72","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847064","4:f4b58906-e3ae-4787-871e-1af324202838:88","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217588","4:f4b58906-e3ae-4787-871e-1af324202838:116","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217593","4:f4b58906-e3ae-4787-871e-1af324202838:121","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532346","4:f4b58906-e3ae-4787-871e-1af324202838:122","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847108","4:f4b58906-e3ae-4787-871e-1af324202838:132","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847146","4:f4b58906-e3ae-4787-871e-1af324202838:170","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1157425104234217674","4:f4b58906-e3ae-4787-871e-1af324202838:202","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847335","4:f4b58906-e3ae-4787-871e-1af324202838:359","4:f4b58906-e3ae-4787-871e-1af324202838:16","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6919780827454767359","4:f4b58906-e3ae-4787-871e-1af324202838:18","4:f4b58906-e3ae-4787-871e-1af324202838:255","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847019","4:f4b58906-e3ae-4787-871e-1af324202838:43","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847049","4:f4b58906-e3ae-4787-871e-1af324202838:73","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847050","4:f4b58906-e3ae-4787-871e-1af324202838:74","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847094","4:f4b58906-e3ae-4787-871e-1af324202838:118","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847112","4:f4b58906-e3ae-4787-871e-1af324202838:136","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847113","4:f4b58906-e3ae-4787-871e-1af324202838:137","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847126","4:f4b58906-e3ae-4787-871e-1af324202838:150","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
