categoria,termo,codigo,nome,ch_teorica,ch_pratica,ch_extensao
ELETIVA,6,5931,PROCESSAMENTO DE SINAIS BIOMÉDICOS,36,36,
ELETIVA,6,5879,PROCESSAMENTO DE TERMOPLÁSTICOS,56,16,8
ELETIVA,6,9801,PROCESSAMENTO DE TERMORRÍGIDOS E ELASTÔMEROS,36,0,
ELETIVA,6,3580,PROGRAMAÇÃO CONCORRENTE E DISTRIBUÍDA,42,30,
ELETIVA,6,4662,PROJETO DE SISTEMAS DIGITAIS,20,52,
ELETIVA,6,9795,PROJETOS EM ENGENHARIA BIOMÉDICA,0,72,
ELETIVA,6,9882,PROJETOS EM ENGENHARIA DE COMPUTAÇÃO,72,0,72
ELETIVA,6,9904,PROJETOS EXTENSIONISTAS EM ENG. BIOMÉDICA,36,0,36
ELETIVA,6,9798,PROJETOS EXTENSIONISTAS ENG. MATERIAIS,0,72,72
ELETIVA,6,8519,PROJETOS SUSTENTÁVEIS EM POLÍMEROS,72,0,72
ELETIVA,6,5860,PROTEÔMICA,36,36,12
INTERDISCIPLINAR,6,5885,QUALIDADE,20,16,
ELETIVA,6,8530,RADIOTERAPIA PARA ENGENHARIA,72,0,
ELETIVA,6,6165,RECUPERAÇÃO DE INFORMAÇÃO MULTIMÍDIA,48,24,
ELETIVA,6,2617,REDES DE COMPUTADORES,52,20,
ELETIVA,6,9014,REDES NEURAIS E APRENDIZADO PROFUNDO,72,0,
ELETIVA,6,5785,REOLOGIA DOS MATERIAIS,36,0,
INTERDISCIPLINAR,6,8210,RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA,20,52,
INTERDISCIPLINAR,6,9827,RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA II,0,72,72
ELETIVA,6,3819,SEGURANÇA COMPUTACIONAL,36,36,
ELETIVA,6,8288,SEGURANÇA DA INFORMAÇÃO,28,8,8
INTERDISCIPLINAR,6,9799,SELEÇÃO DE MATERIAIS,72,0,8
ELETIVA,6,6101,SEMINÁRIOS INTERDISCIPLINARES,36,0,
ELETIVA,6,5786,SÍNTESE DE POLÍMEROS,52,20,
OPTATIVA,6,8253,SISTEMAS COGNITIVOS ARTIFICIAIS NO ENSINO E APRENDIZAGEM,40,0,
OPTATIVA,6,7548,SISTEMAS COMPUTACIONAIS COLABORATIVOS,40,0,
ELETIVA,6,3049,SISTEMAS DISTRIBUÍDOS,42,30,
ELETIVA,6,6033,SISTEMAS EMBARCADOS,36,36,16
ELETIVA,6,5398,SISTEMAS MECÂNICOS,36,36,20
ELETIVA,6,8517,SOFT SKILLS NA ENGENHARIA,72,0,36
ELETIVA,6,6929,SOLDAGEM,60,12,8
ELETIVA,6,8518,SUSTENTABILIDADE,72,0,36
ELETIVA,6,9015,SUSTENTABILIDADE NO GERENCIAMENTO DE RESÍDUOS,36,36,
ELETIVA,6,5787,TÉCNICAS EXPERIMENTAIS,48,24,8
ELETIVA,6,10126,TECNOLOGIA DO PVC,72,0,
ELETIVA,6,5782,TECNOLOGIA EM TINTAS E VERNIZES,60,12,4
ELETIVA,6,6114,TECNOLOGIAS ASSISTIVAS,62,10,
ELETIVA,6,8522,TELEMEDICINA,36,36,
ELETIVA,6,9883,TEORIA DE GALOIS,72,0,
ELETIVA,6,2975,TEORIA DOS GRAFOS,62,10,
ELETIVA,6,5401,TERMODINÂMICA DOS SÓLIDOS,72,0,
INTERDISCIPLINAR,6,6096,TÓPICOS EM CIÊNCIA E TECNOLOGIA IV,36,0,
ELETIVA,6,6943,TÓPICOS EM ESTATÍSTICA,36,36,
ELETIVA,6,6167,TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO II,36,36,
ELETIVA,6,7214,TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO III,36,36,
ELETIVA,6,7215,TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO IV,72,0,
ELETIVA,6,7216,TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO V,36,0,
ELETIVA,6,9547,TÓPICOS EM HISTÓRIA DA MATEMÁTICA,72,0,8
ELETIVA,6,6060,TÓPICOS EM MATEMÁTICA COMPUTACIONAL I,36,36,
ELETIVA,6,6061,TÓPICOS EM MATEMÁTICA COMPUTACIONAL II,36,36,
ELETIVA,6,9829,TÓPICOS EM MATEMÁTICA E SOCIEDADE II,0,36,36
ELETIVA,6,8219,TÓPICOS EM RESSONÂNCIA MAGNÉTICA NUCLEAR,72,0,
ELETIVA,6,6169,TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO II,36,36,
ELETIVA,6,7217,TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO III,36,36,
ELETIVA,6,7218,TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO IV,36,36,
ELETIVA,6,7219,TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO V,36,36,
ELETIVA,6,9831,TÓPICOS EM TEORIA DOS NÚMEROS,54,18,8
INTERDISCIPLINAR,6,9821,TÓPICOS ESPECIAIS EM ECONOMIA E NEGÓCIOS,18,18,18
INTERDISCIPLINAR,6,9818,TÓPICOS ESPECIAIS EM FÍSICA,40,32,
INTERDISCIPLINAR,6,6097,TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO IV,24,12,
ELETIVA,6,5763,TRANSDUÇÃO DE GRANDEZAS BIOMÉDICAS,52,20,
ELETIVA,6,9800,TRATAMENTOS TÉRMICOS,36,36,6
ELETIVA,6,3050,VALIDAÇÃO E VERIFICAÇÃO DE SOFTWARE,36,36,
ELETIVA,6,5402,"VIDROS, VITROCERÂMICOS E VIDRADOS",54,18,8
