"~id","~labels","termo","codigo","categoria","ch_teorica","nome","ch_pratica","label","ch_extensao"
"4:f4b58906-e3ae-4787-871e-1af324202838:44","UCS",3,"5414","INTERDISCIPLINAR",36,"ALGORITMOS EM BIOINFORMÁTICA",36,"5414 - ALGORITMOS EM BIOINFORMÁTICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:79","UCS",3,"6074","INTERDISCIPLINAR",24,"TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO I",12,"6074 - TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO I",
"4:f4b58906-e3ae-4787-871e-1af324202838:82","UCS",4,"3519","ELETIVA",52,"ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES",20,"3519 - ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES",
"4:f4b58906-e3ae-4787-871e-1af324202838:126","UCS",4,"6080","INTERDISCIPLINAR",24,"TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO II",12,"6080 - TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO II",
"4:f4b58906-e3ae-4787-871e-1af324202838:152","UCS",5,"5372","INTERDISCIPLINAR",36,"INTRODUÇÃO À BIOINFORMÁTICA",36,"5372 - INTRODUÇÃO À BIOINFORMÁTICA",8
"4:f4b58906-e3ae-4787-871e-1af324202838:157","UCS",5,"2616","ELETIVA",72,"LINGUAGENS FORMAIS E AUTÔMATOS",0,"2616 - LINGUAGENS FORMAIS E AUTÔMATOS",
"4:f4b58906-e3ae-4787-871e-1af324202838:163","UCS",5,"4148","ELETIVA",58,"OTIMIZAÇÃO LINEAR",14,"4148 - OTIMIZAÇÃO LINEAR",6
"4:f4b58906-e3ae-4787-871e-1af324202838:173","UCS",5,"9826","INTERDISCIPLINAR",0,"RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA I",72,"9826 - RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA I",72
"4:f4b58906-e3ae-4787-871e-1af324202838:174","UCS",5,"4150","INTERDISCIPLINAR",44,"SIMULAÇÃO DE SISTEMAS",28,"4150 - SIMULAÇÃO DE SISTEMAS",
"4:f4b58906-e3ae-4787-871e-1af324202838:189","UCS",6,"4413","ELETIVA",48,"APRENDIZADO DE MÁQUINA E RECONHECIMENTO DE PADRÕES",24,"4413 - APRENDIZADO DE MÁQUINA E RECONHECIMENTO DE PADRÕES",
"4:f4b58906-e3ae-4787-871e-1af324202838:212","UCS",6,"6105","ELETIVA",12,"CLASSIFICAÇÃO DE SINAIS BIOLÓGICOS",24,"6105 - CLASSIFICAÇÃO DE SINAIS BIOLÓGICOS",
"4:f4b58906-e3ae-4787-871e-1af324202838:260","UCS",6,"9881","INTERDISCIPLINAR",36,"INTERNET DAS COISAS",36,"9881 - INTERNET DAS COISAS",36
"4:f4b58906-e3ae-4787-871e-1af324202838:294","UCS",6,"4164","ELETIVA",58,"METAHEURÍSTICAS",14,"4164 - METAHEURÍSTICAS",
"4:f4b58906-e3ae-4787-871e-1af324202838:304","UCS",6,"5770","ELETIVA",44,"MINERAÇÃO DE DADOS BIOMÉDICOS",28,"5770 - MINERAÇÃO DE DADOS BIOMÉDICOS",
"4:f4b58906-e3ae-4787-871e-1af324202838:323","UCS",6,"4662","ELETIVA",20,"PROJETO DE SISTEMAS DIGITAIS",52,"4662 - PROJETO DE SISTEMAS DIGITAIS",
"4:f4b58906-e3ae-4787-871e-1af324202838:336","UCS",6,"8210","INTERDISCIPLINAR",20,"RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA",52,"8210 - RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:337","UCS",6,"9827","INTERDISCIPLINAR",0,"RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA II",72,"9827 - RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA II",72
"4:f4b58906-e3ae-4787-871e-1af324202838:346","UCS",6,"6033","ELETIVA",36,"SISTEMAS EMBARCADOS",36,"6033 - SISTEMAS EMBARCADOS",16
"4:f4b58906-e3ae-4787-871e-1af324202838:13","UCS",1,"8954","OPTATIVA",18,"NOÇÕES EM EMPREENDEDORISMO E INOVAÇÃO",0,"8954 - NOÇÕES EM EMPREENDEDORISMO E INOVAÇÃO",
"4:f4b58906-e3ae-4787-871e-1af324202838:14","UCS",1,"8909","OPTATIVA",36,"PRÉ-CÁLCULO",0,"8909 - PRÉ-CÁLCULO",
"4:f4b58906-e3ae-4787-871e-1af324202838:15","UCS",1,"8817","OPTATIVA",32,"PYTHON PARA ENGENHARIA",0,"8817 - PYTHON PARA ENGENHARIA",
"4:f4b58906-e3ae-4787-871e-1af324202838:16","UCS",1,"5704","FIXA",72,"QUÍMICA GERAL",0,"5704 - QUÍMICA GERAL",
"4:f4b58906-e3ae-4787-871e-1af324202838:39","UCS",2,"4370","INTERDISCIPLINAR",0,"QUÍMICA GERAL EXPERIMENTAL",72,"4370 - QUÍMICA GERAL EXPERIMENTAL",16
"4:f4b58906-e3ae-4787-871e-1af324202838:62","UCS",3,"5169","INTERDISCIPLINAR",30,"INTRODUÇÃO À NANOTECNOLOGIA",6,"5169 - INTRODUÇÃO À NANOTECNOLOGIA",6
"4:f4b58906-e3ae-4787-871e-1af324202838:71","UCS",3,"4772","INTERDISCIPLINAR",60,"QUÍMICA INORGÂNICA",12,"4772 - QUÍMICA INORGÂNICA",8
"4:f4b58906-e3ae-4787-871e-1af324202838:72","UCS",3,"4350","ELETIVA",72,"QUÍMICA ORGÂNICA",0,"4350 - QUÍMICA ORGÂNICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:88","UCS",4,"4764","ELETIVA",72,"CIÊNCIA E TECNOLOGIA DOS MATERIAIS",0,"4764 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS",
"4:f4b58906-e3ae-4787-871e-1af324202838:121","UCS",4,"4536","INTERDISCIPLINAR",0,"QUÍMICA ORGÂNICA EXPERIMENTAL",72,"4536 - QUÍMICA ORGÂNICA EXPERIMENTAL",8
"4:f4b58906-e3ae-4787-871e-1af324202838:132","UCS",5,"5170","INTERDISCIPLINAR",32,"BIOMATERIAIS",4,"5170 - BIOMATERIAIS",4
"4:f4b58906-e3ae-4787-871e-1af324202838:170","UCS",5,"5883","INTERDISCIPLINAR",26,"QUÍMICA ANALÍTICA",46,"5883 - QUÍMICA ANALÍTICA",16
"4:f4b58906-e3ae-4787-871e-1af324202838:359","UCS",6,"5401","ELETIVA",72,"TERMODINÂMICA DOS SÓLIDOS",0,"5401 - TERMODINÂMICA DOS SÓLIDOS",
"4:f4b58906-e3ae-4787-871e-1af324202838:17","UCS",1,"8822","OPTATIVA",32,"SEMINÁRIOS MULTIDISCIPLINARES SOBRE CIÊNCIA E TECNOLOGIA",0,"8822 - SEMINÁRIOS MULTIDISCIPLINARES SOBRE CIÊNCIA E TECNOLOGIA",
"4:f4b58906-e3ae-4787-871e-1af324202838:18","UCS",1,"6057","INTERDISCIPLINAR",62,"SÉRIES TEMPORAIS E PREVISÕES",10,"6057 - SÉRIES TEMPORAIS E PREVISÕES",
"4:f4b58906-e3ae-4787-871e-1af324202838:255","UCS",6,"4401","ELETIVA",56,"INFERÊNCIA E ANÁLISE DE REGRESSÃO",16,"4401 - INFERÊNCIA E ANÁLISE DE REGRESSÃO",
"4:f4b58906-e3ae-4787-871e-1af324202838:19","UCS",1,"8820","OPTATIVA",36,"TÓPICOS EM FÍSICA MODERNA",0,"8820 - TÓPICOS EM FÍSICA MODERNA",
"4:f4b58906-e3ae-4787-871e-1af324202838:20","UCS",1,"6517","OPTATIVA",72,"UNIDADE DE APOIO AO CÁLCULO",0,"6517 - UNIDADE DE APOIO AO CÁLCULO",
"4:f4b58906-e3ae-4787-871e-1af324202838:43","UCS",3,"2833","ELETIVA",46,"ALGORITMOS E ESTRUTURAS DE DADOS II",26,"2833 - ALGORITMOS E ESTRUTURAS DE DADOS II",
"4:f4b58906-e3ae-4787-871e-1af324202838:73","UCS",3,"4410","ELETIVA",54,"REALIDADE VIRTUAL E AUMENTADA",18,"4410 - REALIDADE VIRTUAL E AUMENTADA",
"4:f4b58906-e3ae-4787-871e-1af324202838:74","UCS",3,"6075","ELETIVA",52,"SISTEMAS ROBÓTICOS",20,"6075 - SISTEMAS ROBÓTICOS",
"4:f4b58906-e3ae-4787-871e-1af324202838:118","UCS",4,"2471","ELETIVA",36,"PROGRAMAÇÃO ORIENTADA A OBJETOS",36,"2471 - PROGRAMAÇÃO ORIENTADA A OBJETOS",
"4:f4b58906-e3ae-4787-871e-1af324202838:136","UCS",5,"6103","INTERDISCIPLINAR",48,"COMPUTAÇÃO BIOINSPIRADA",24,"6103 - COMPUTAÇÃO BIOINSPIRADA",
"4:f4b58906-e3ae-4787-871e-1af324202838:137","UCS",5,"3051","ELETIVA",36,"COMPUTAÇÃO GRÁFICA",36,"3051 - COMPUTAÇÃO GRÁFICA",
"4:f4b58906-e3ae-4787-871e-1af324202838:150","UCS",5,"3490","ELETIVA",48,"INTELIGÊNCIA ARTIFICIAL",24,"3490 - INTELIGÊNCIA ARTIFICIAL",8
"4:f4b58906-e3ae-4787-871e-1af324202838:175","UCS",5,"2612","ELETIVA",54,"SISTEMAS OPERACIONAIS",18,"2612 - SISTEMAS OPERACIONAIS",
"4:f4b58906-e3ae-4787-871e-1af324202838:179","UCS",5,"6166","ELETIVA",36,"TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO I",36,"6166 - TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO I",
